AP Mac,Model,Street,Street 2,City,State,Zip Code,Latitude,Longitude,Region,Zone,Zone Type,Site ID
00:0D:67:9B:D5:C8,BA100SNE-11,100 W Oxford St,,Philadelphia,PA,19122,39.974268,-75.135082,Freedom,Fishtown,Secondary,OUT775
74:EA:E8:F2:CD:DA,OG1600A,1507 N Hope Street,,Philadelphia,PA,19122,39.973166,-75.135474,Freedom,Fishtown,Secondary,OUT761
74:EA:E8:F2:CD:5E,OG1600A,17 W Thompson St,,Philadelphia,PA,19125,39.97024,-75.134931,Freedom,Fishtown,Primary,BIG842546
A8:9F:EC:DA:BA:76,OG1600A,179 E Allen St,,Philadelphia,PA,19125,39.966232,-75.132334,Freedom,Fishtown,Secondary,BIG842575
F8:2D:C0:BE:E3:92,OG1600A,1241 E Columbia Ave,,Philadelphia,PA,19125,39.971316,-75.130996,Freedom,Fishtown,Secondary,BIG842533
00:0D:67:9B:75:10,BA100SNE-11,1255 Marlborough St,,Philadelphia,PA,19125,39.971163,-75.132432,Freedom,Fishtown,Secondary,BIG842534
A8:9F:EC:DA:C4:42,OG1600A,330 E Girard Ave,,Philadelphia,PA,19125,39.96997,-75.130699,Freedom,Fishtown,Secondary,BIG842539
A8:9F:EC:DA:C4:1E,OG1600A,228 E Girard Ave,,Philadelphia,PA,19125,39.969189,-75.132936,Freedom,Fishtown,Secondary,BIG842541
F8:2D:C0:BF:92:B6,OG1600A,1034 Marlborough St,,Philadelphia,PA,19125,39.968367,-75.131091,Freedom,Fishtown,Secondary,
A8:9F:EC:FB:EC:A2,OG1600A,11 W Wildey St,,Philadelphia,PA,19123,39.967066,-75.134526,Freedom,Fishtown,Secondary,BIG842543
A8:9F:EC:DA:C4:52,OG1600A,1240 Frankford Ave,,Philadelphia,PA,19125,39.969937,-75.134355,Freedom,Fishtown,Primary,BIG842545
A8:9F:EC:DA:C4:22,OG1600A,1331 Frankford Ave,,Philadelphia,PA,19125,39.971131,-75.134323,Freedom,Fishtown,Primary,BIG842547
74:EA:E8:F2:CE:4E,OG1600A,1435 Frankford Ave,,Philadelphia,PA,19125,39.973232,-75.133777,Freedom,Fishtown,Primary,BIG842549
F8:2D:C0:BF:90:B6,OG1600A,1601 Frankford Ave,,Philadelphia,PA,19125,39.974103,-75.133269,Freedom,Fishtown,Primary,BIG842552
