AP Mac,Model,Street,Street2,City,State,Zip Code,Latitude,Longitude,Region,Zone,Zone Type,SiteID
0C:02:27:D3:D6:20,DPC3941B,9 W HIGHLAND AVE,STE 1,Philadelphia,PA,19118,40.075714,-75.20708,Freedom,Chestnut Hill,Secondary,N/A
0C:02:27:D3:DF:C6,DPC3941B,1714 MEMPHIS ST,BSMT RM CMTY,Philadelphia,PA,19125,39.975113,-75.1306,Freedom,Fishtown,Secondary,N/A
0C:02:27:D4:00:F0,DPC3941B,834 SOUTH ST,,Philadelphia,PA,19147,39.942364,-75.156654,Freedom,South St Zone 1,Secondary,N/A
0C:02:27:D4:15:13,DPC3941B,936 PINE ST,FL 2,Philadelphia,PA,19107,39.944542,-75.15814,Freedom,South St Zone 1,Secondary,N/A
0C:02:27:D4:76:4D,DPC3941B,1240 SOUTH ST,,Philadelphia,PA,19147,39.94321,-75.16312,Freedom,South St Zone 1,Secondary,N/A
0C:02:27:D4:78:96,DPC3941B,100 W OXFORD ST,FL 2,Philadelphia,PA,19122,39.973774,-75.13522,Freedom,Fishtown,Secondary,N/A
0C:02:27:F1:BD:48,DPC3941B,23 STREET RD,,Lahaska,PA,18931,40.3475,-75.0325,Freedom,Peddlers Village,Primary,N/A
0C:02:27:F2:05:C8,DPC3941B,1016 ADDISON ST,OFC BVE,Philadelphia,PA,19147,39.94413,-75.15901,Freedom,South St Zone 1,Secondary,N/A
0C:02:27:F2:C5:DF,DPC3941B,15 W HIGHLAND AVE,FL 2 FRNT,Philadelphia,PA,19118,40.07561,-75.20681,Freedom,Chestnut Hill,Secondary,N/A
0C:02:27:F2:E7:90,DPC3941B,1341 N MASCHER ST,FL 1,Philadelphia,PA,19122,39.971714,-75.13723,Freedom,Fishtown,Secondary,N/A
0C:02:27:F3:4D:1B,DPC3941B,752 S 11TH ST,OFC REAR,Philadelphia,PA,19147,39.94079,-75.16099,Freedom,South St Zone 1,Secondary,N/A
0C:02:27:F3:38:67,DPC3941B,1639 N HANCOCK ST,STE 404,Philadelphia,PA,19122,39.975536,-75.13696,Freedom,Fishtown,Secondary,N/A
0C:02:27:F3:45:DC,DPC3941B,822 PINE ST,STE 1D,Philadelphia,PA,19107,39.94415,-75.156105,Freedom,South St Zone 1,Secondary,N/A
0C:02:27:F9:D2:DF,DPC3941B,165 PEDDLERS VLG RD,,Lahaska,PA,18931,40.34737,-75.03197,Freedom,Peddlers Village,Primary,N/A
0C:02:27:F9:D7:D0,DPC3941B,8014 WINSTON RD,OFC,Philadelphia,PA,19118,40.073322,-75.19993,Freedom,Chestnut Hill,Secondary,N/A
0C:02:27:FB:3B:34,DPC3941B,8428 GERMANTOWN AVE,FL 1 FRNT STRE,Philadelphia,PA,19118,40.07528,-75.206085,Freedom,Chestnut Hill,Secondary,N/A
0C:02:27:FB:41:79,DPC3941B,8017 WINSTON RD,OFC,Philadelphia,PA,19118,40.073524,-75.199356,Freedom,Chestnut Hill,Secondary,N/A
0C:02:27:FD:92:58,DPC3941B,1428 COLUMBIA AVE,,Philadelphia,PA,19125,39.97371,-75.13267,Freedom,Fishtown,Secondary,N/A
0C:02:27:FD:E8:84,DPC3941B,609 S 7TH ST,FL 1ST,Philadelphia,PA,19147,39.941868,-75.15374,Freedom,South St Zone 1,Secondary,N/A
0C:02:27:FD:F1:53,DPC3941B,100 W OXFORD ST,STE E3000,Philadelphia,PA,19122,39.973778,-75.13522,Freedom,Fishtown,Secondary,N/A
2C:AB:A4:2E:62:94,DPC3939B,8524 GERMANTOWN AVE,FL 1,Philadelphia,PA,19118,40.076244,-75.20729,Freedom,Chestnut Hill,Primary,N/A
2C:AB:A4:2E:65:91,DPC3939B,8505 GERMANTOWN AVE,FL 1,Philadelphia,PA,19118,40.076183,-75.206665,Freedom,Chestnut Hill,Primary,N/A
2C:AB:A4:2F:43:7B,DPC3939B,737 S 7TH ST,,Philadelphia,PA,19147,39.94036,-75.15414,Freedom,South St Zone 1,Secondary,N/A
2C:AB:A4:2F:43:53,DPC3939B,507 S 8TH ST,SPC MGMT,Philadelphia,PA,19147,39.94293,-75.1551,Freedom,South St Zone 1,Secondary,N/A
2C:AB:A4:3B:8A:55,DPC3939B,40 W EVERGREEN AVE,STE 101,Philadelphia,PA,19118,40.075436,-75.20824,Freedom,Chestnut Hill,Secondary,N/A
2C:AB:A4:3B:12:C3,DPC3939B,1306 FRANKFORD AVE,,Philadelphia,PA,19125,39.97057,-75.13483,Freedom,Fishtown,Primary,N/A
2C:AB:A4:3C:BA:01,DPC3939B,22 W GIRARD AVE,,Philadelphia,PA,19123,39.96822,-75.13574,Freedom,Fishtown,Secondary,N/A
2C:AB:A4:3D:3F:4E,DPC3939B,822 PINE ST,STE 4A,Philadelphia,PA,19107,39.94415,-75.156105,Freedom,South St Zone 1,Secondary,N/A
2C:AB:A4:3D:3F:21,DPC3939B,8433 GERMANTOWN AVE,APT C,Philadelphia,PA,19118,40.076088,-75.20578,Freedom,Chestnut Hill,Primary,N/A
2C:AB:A4:3D:5E:DE,DPC3939B,8031 GERMANTOWN AVE,FRNT LEFT,Philadelphia,PA,19118,40.07171,-75.20124,Freedom,Chestnut Hill,Secondary,N/A
2C:AB:A4:3D:11:9F,DPC3939B,1114 SPRUCE ST,STE 100,Philadelphia,PA,19107,39.94605,-75.16027,Freedom,South St Zone 1,Secondary,N/A
2C:AB:A4:3D:25:B8,DPC3939B,1741 FRANKFORD AVE,STE 100,Philadelphia,PA,19125,39.975758,-75.131966,Freedom,Fishtown,Secondary,N/A
2C:AB:A4:3D:39:6D,DPC3939B,8812 GERMANTOWN AVE,,Philadelphia,PA,19118,40.077827,-75.21184,Freedom,Chestnut Hill,Secondary,N/A
2C:AB:A4:3D:43:3B,DPC3939B,1045 FRANKFORD AVE,APT 103,Philadelphia,PA,19125,39.96724,-75.13422,Freedom,Fishtown,Secondary,N/A
2C:AB:A4:3F:87:04,DPC3939B,1441 E OXFORD ST,OFC,Philadelphia,PA,19125,39.973934,-75.13307,Freedom,Fishtown,Primary,N/A
2C:AB:A4:33:50:06,DPC3939B,76 PEDDLERS VLG,,Lahaska,PA,18931,40.347374,-75.031975,Freedom,Peddlers Village,Primary,N/A
2C:AB:A4:34:03:75,DPC3939B,700 SOUTH ST,,Philadelphia,PA,19147,39.94206,-75.154106,Freedom,South St Zone 1,Secondary,N/A
2C:AB:A4:40:52:10,DPC3939B,58 PEDDLERS VLG,,New Hope,PA,18938,40.346928,-75.03287,Freedom,Peddlers Village,Primary,N/A
2C:AB:A4:40:52:38,DPC3939B,637 SOUTH ST,FRNT,Philadelphia,PA,19147,39.94231,-75.15351,Freedom,South St Zone 1,Secondary,N/A
2C:AB:A4:40:85:B9,DPC3939B,8217 GERMANTOWN AVE,,Philadelphia,PA,19118,40.073765,-75.2028,Freedom,Chestnut Hill,Primary,N/A
2C:AB:A4:40:87:D0,DPC3939B,932 PINE ST,UNIT MAIN OFC,Philadelphia,PA,19107,39.944473,-75.15802,Freedom,South St Zone 1,Secondary,N/A
2C:AB:A4:51:27:34,DPC3939B,900 S 9TH ST,UNIT B,Philadelphia,PA,19147,39.938988,-75.157845,Freedom,South St Zone 1,Secondary,N/A
3C:9A:77:1A:C2:CA,CGA4131COM,775 S 10TH ST,OFC,Philadelphia,PA,19147,39.94031,-75.15917,Freedom,South St Zone 1,Secondary,N/A
3C:9A:77:1A:FF:42,CGA4131COM,744 SOUTH ST,FL 1,Philadelphia,PA,19147,39.942368,-75.15531,Freedom,South St Zone 1,Secondary,N/A
3C:9A:77:1C:8C:C2,CGA4131COM,1118 PINE ST,FRNT STORE,Philadelphia,PA,19107,39.944798,-75.16055,Freedom,South St Zone 1,Secondary,N/A
3C:9A:77:1C:27:96,CGA4131COM,79 PEDDLERS VLG RD,,Lahaska,PA,18931,40.34688,-75.0331,Freedom,Peddlers Village,Primary,N/A
3C:9A:77:1D:03:BE,CGA4131COM,764 S 9TH ST,UNIT FRNT OFC ADDLBUS,Philadelphia,PA,19147,39.939976,-75.157875,Freedom,South St Zone 1,Secondary,N/A
3C:9A:77:1E:DC:DE,CGA4131COM,1020 N DELAWARE AVE,FL 2ND,Philadelphia,PA,19125,39.965816,-75.132774,Freedom,Fishtown,Secondary,N/A
3C:9A:77:1F:7F:86,CGA4131COM,1300 N HOWARD ST,SPC SIDE,Philadelphia,PA,19122,39.970993,-75.13703,Freedom,Fishtown,Secondary,N/A
3C:9A:77:1F:D3:96,CGA4131COM,644 SOUTH ST,,Philadelphia,PA,19147,39.942005,-75.15361,Freedom,South St Zone 1,Secondary,N/A
3C:9A:77:24:1E:7E,CGA4131COM,8430 GERMANTOWN AVE,,Philadelphia,PA,19118,40.075325,-75.20614,Freedom,Chestnut Hill,Secondary,N/A
3C:9A:77:24:A2:C2,CGA4131COM,1315 N FRONT ST,,Philadelphia,PA,19122,39.97071,-75.135376,Freedom,Fishtown,Secondary,N/A
3C:9A:77:B4:C7:72,CGA4131COM,1214 N FRONT ST,BSMT,Philadelphia,PA,19122,39.969463,-75.13627,Freedom,Fishtown,Secondary,N/A
3C:9A:77:B5:0D:D6,CGA4131COM,1405 FRANKFORD AV,OFC,Philadelphia,PA,19125,39.9726,-75.13401,Freedom,Fishtown,Primary,N/A
3C:9A:77:B6:4C:FA,CGA4131COM,46 PEDDLERS VLG,STE 46 OFC BUS2,Lahaska,PA,18931,40.34693,-75.03264,Freedom,Peddlers Village,Primary,N/A
3C:9A:77:BA:A3:AE,CGA4131COM,8236 GERMANTOWN AVE,FL 1,Philadelphia,PA,19118,40.074055,-75.203636,Freedom,Chestnut Hill,Primary,N/A
3C:9A:77:BC:07:4E,CGA4131COM,7 PEDDLERS VLG,,Lahaska,PA,18931,40.347897,-75.03132,Freedom,Peddlers Village,Primary,N/A
3C:9A:77:BE:99:FA,CGA4131COM,8419 GERMANTOWN AVE,STE 7,Philadelphia,PA,19118,40.0758,-75.20529,Freedom,Chestnut Hill,Primary,N/A
3C:9A:77:BE:D9:BA,CGA4131COM,251 E GIRARD AVE,FL 1,Philadelphia,PA,19125,39.96985,-75.13218,Freedom,Fishtown,Secondary,N/A
3C:B7:4B:7A:75:D2,CGA4131COM,1216 SOUTH ST,UNIT STORE FRONT,Philadelphia,PA,19147,39.943092,-75.162384,Freedom,South St Zone 1,Secondary,N/A
3C:B7:4B:79:F8:46,CGA4131COM,1311 SOUTH ST,OFC,Philadelphia,PA,19147,39.94358,-75.16367,Freedom,South St Zone 1,Secondary,N/A
3C:B7:4B:C1:5E:C0,CGA4131COM,1727 N FRONT ST,,Philadelphia,PA,19122,39.97579,-75.13386,Freedom,Fishtown,Secondary,N/A
3C:B7:4B:C1:05:74,CGA4131COM,38 PEDDLERS VLG,,Lahaska,PA,18931,40.3472,-75.03204,Freedom,Peddlers Village,Primary,N/A
5C:76:95:9C:61:02,CGA4131COM,1232 N FRONT ST,LBBY,Philadelphia,PA,19122,39.96999,-75.13621,Freedom,Fishtown,Secondary,N/A
5C:76:95:9C:68:82,CGA4131COM,1108 FRANKFORD AVE,STE 2 SPC BUS 2,Philadelphia,PA,19125,39.967266,-75.1348,Freedom,Fishtown,Secondary,N/A
10:33:BF:FC:D8:7B,CGA4131COM,102 W GIRARD AVE,REAR,Philadelphia,PA,19123,39.96869,-75.13644,Freedom,Fishtown,Secondary,N/A
10:33:BF:FD:12:5F,CGA4131COM,19 W HIGHLAND AVE,,Philadelphia,PA,19118,40.07578,-75.20702,Freedom,Chestnut Hill,Secondary,N/A
10:33:BF:FD:52:FB,CGA4131COM,12 PEDDLERS VLG,STE 12,Lahaska,PA,18931,40.347908,-75.03131,Freedom,Peddlers Village,Primary,N/A
10:33:BF:FD:AE:13,CGA4131COM,33 PEDDLERS VILLAGE RD,OFC 2,Lahaska,PA,18931,40.34788,-75.031334,Freedom,Peddlers Village,Primary,N/A
10:33:BF:FD:FE:27,CGA4131COM,8337 GERMANTOWN AVE,APT 1,Philadelphia,PA,19118,40.07519,-75.20453,Freedom,Chestnut Hill,Primary,N/A
14:98:7D:2A:3E:62,DPC3941B,716 SOUTH ST,UNIT FRONT,Philadelphia,PA,19147,39.942062,-75.15456,Freedom,South St Zone 1,Secondary,N/A
14:98:7D:2A:46:F0,DPC3941B,1140 SHACKAMAXON ST,FRNT STORE,Philadelphia,PA,19125,39.968346,-75.13328,Freedom,Fishtown,Secondary,N/A
14:98:7D:2B:7D:86,DPC3941B,901 SOUTH ST,,Philadelphia,PA,19147,39.942844,-75.157196,Freedom,South St Zone 1,Primary,N/A
14:98:7D:2C:F9:4F,DPC3941B,18 W GIRARD AVE,,Philadelphia,PA,19123,39.96836,-75.135315,Freedom,Fishtown,Secondary,N/A
14:98:7D:2D:1D:21,DPC3941B,8229 GERMANTOWN AVE,OFC MGT,Philadelphia,PA,19118,40.073505,-75.20287,Freedom,Chestnut Hill,Primary,N/A
14:98:7D:2D:4B:B1,DPC3941B,1101 FRANKFORD AVE,,Philadelphia,PA,19125,39.967712,-75.13401,Freedom,Fishtown,Secondary,N/A
14:98:7D:2D:08:7C,DPC3941B,808 SOUTH ST,APT 1,Philadelphia,PA,19147,39.942287,-75.15585,Freedom,South St Zone 1,Secondary,N/A
14:98:7D:2D:24:06,DPC3941B,1001 PINE ST,APT 101,Philadelphia,PA,19107,39.944836,-75.15845,Freedom,South St Zone 1,Secondary,N/A
14:98:7D:3A:0A:C2,DPC3941B,8429 GERMANTOWN AVE,UNIT 31,Philadelphia,PA,19118,40.075935,-75.20571,Freedom,Chestnut Hill,Primary,N/A
14:98:7D:3A:0E:E6,DPC3941B,1639 N HANCOCK ST,UNIT BUS2,Philadelphia,PA,19122,39.975536,-75.13696,Freedom,Fishtown,Secondary,N/A
14:98:7D:3A:3B:00,DPC3941B,1700 FRANKFORD AVE,STE 2C,Philadelphia,PA,19125,39.974705,-75.13339,Freedom,Fishtown,Secondary,N/A
14:98:7D:3A:3B:87,DPC3941B,1706 FRANKFORD AVE,,Philadelphia,PA,19125,39.97496,-75.13332,Freedom,Fishtown,Secondary,N/A
14:98:7D:3A:06:7B,DPC3941B,1042 PINE ST,FRNT STORE,Philadelphia,PA,19107,39.94473,-75.15971,Freedom,South St Zone 1,Secondary,N/A
14:98:7D:3A:06:DA,DPC3941B,63 PEDDLERS VLG,,Lahaska,PA,18931,40.34688,-75.0331,Freedom,Peddlers Village,Primary,N/A
14:98:7D:3A:07:9D,DPC3941B,66 PEDDLERS VLG,FRNT STOR,Lahaska,PA,18931,40.347023,-75.03242,Freedom,Peddlers Village,Primary,N/A
14:98:7D:3A:07:34,DPC3941B,718 S 7TH ST,,Philadelphia,PA,19147,39.940865,-75.15438,Freedom,South St Zone 1,Secondary,N/A
14:98:7D:3A:41:E5,DPC3941B,8618 GERMANTOWN AVE,APT C,Philadelphia,PA,19118,40.076813,-75.20841,Freedom,Chestnut Hill,Primary,N/A
14:98:7D:3C:6B:32,DPC3941B,3061 STREET RD,STE MAIN,Lahaska,PA,18931,40.3467,-75.0316,Freedom,Peddlers Village,Primary,N/A
14:98:7D:3C:96:ED,DPC3941B,2400 STREET RD,UNIT 47,Lahaska,PA,18931,40.34758,-75.02981,Freedom,Peddlers Village,Primary,N/A
14:98:7D:3C:B1:00,DPC3941B,5860 YORK RD,APT 9A OFC,Lahaska,PA,18931,40.346275,-75.03575,Freedom,Peddlers Village,Primary,N/A
